代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),
601318.SH,中国平安,2016-01-04,36,35.84,35.84,33.9,34.05,70997199,2468127284,-1.95,-5.4167,34.7637,
601318.SH,中国平安,2016-01-05,34.05,33.68,34.81,33.5,34.5,87498507,3002728330,0.45,1.3216,34.3175,
601318.SH,中国平安,2016-01-06,34.5,34.3,34.66,34,34.53,48012110,1648967873,0.03,0.087,34.3448,
601318.SH,中国平安,2016-01-07,34.53,34,34.52,33,33.77,23647605,796250794,-0.76,-2.201,33.6715,
601318.SH,中国平安,2016-01-08,33.77,34,34.45,32.9,33.94,98239660,3319542172,0.17,0.5034,33.7902,
601318.SH,中国平安,2016-01-11,33.94,33,33.33,32,32.03,99355700,3259413147,-1.91,-5.6276,32.8055,
601318.SH,中国平安,2016-01-12,32.03,32.27,32.56,31.82,32.21,74380914,2393261862,0.18,0.562,32.1758,
601318.SH,中国平安,2016-01-13,32.21,32.77,32.78,31.85,31.99,62533019,2021310637,-0.22,-0.683,32.3239,
601318.SH,中国平安,2016-01-14,31.99,30.9,32.06,30.8,31.99,79722712,2501041139,0,0,31.3718,
601318.SH,中国平安,2016-01-15,31.99,31.64,31.87,30.9,31.2,59140260,1852786053,-0.79,-2.4695,31.3287,
601318.SH,中国平安,2016-01-18,31.2,30.73,31.27,30.59,31.07,48369367,1499292425,-0.13,-0.4167,30.9967,
601318.SH,中国平安,2016-01-19,31.07,31.22,31.68,30.75,31.51,67392536,2110985238,0.44,1.4162,31.3237,
601318.SH,中国平安,2016-01-20,31.51,31.22,31.45,30.29,30.53,100704268,3093888706,-0.98,-3.1101,30.7225,
601318.SH,中国平安,2016-01-21,30.53,30.37,30.81,29.87,30.15,68190102,2062908473,-0.38,-1.2447,30.2523,
601318.SH,中国平安,2016-01-22,30.15,30.37,30.49,29.68,30.22,49310407,1483455593,0.07,0.2322,30.084,
601318.SH,中国平安,2016-01-25,30.22,30.29,30.36,29.89,30.26,37474472,1128901679,0.04,0.1324,30.1246,
601318.SH,中国平安,2016-01-26,30.26,29.91,30.1,28.98,29.23,76680981,2257692347,-1.03,-3.4038,29.4427,
601318.SH,中国平安,2016-01-27,29.23,29.35,29.48,28.8,29.22,70385326,2053855399,-0.01,-0.0342,29.1802,
601318.SH,中国平安,2016-01-28,29.22,29.2,29.61,28.77,29.3,48441759,1415213671,0.08,0.2738,29.2147,
601318.SH,中国平安,2016-01-29,29.3,29.2,30.38,29.12,30.18,64439144,1926485785,0.88,3.0034,29.8962,
601318.SH,中国平安,2016-02-01,30.18,30.16,30.16,29.31,29.53,34048457,1010608899,-0.65,-2.1537,29.6815,
601318.SH,中国平安,2016-02-02,29.53,29.53,30.1,29.5,29.97,37513430,1121692994,0.44,1.49,29.9011,
601318.SH,中国平安,2016-02-03,29.97,29.5,29.8,29.1,29.64,39035211,1146446853,-0.33,-1.1011,29.3696,
601318.SH,中国平安,2016-02-04,29.64,29.77,30.06,29.49,29.71,36657042,1092202369,0.07,0.2362,29.7952,
601318.SH,中国平安,2016-02-05,29.71,29.7,30,29.61,29.66,33330201,993430369,-0.05,-0.1683,29.8057,
601318.SH,中国平安,2016-02-15,29.66,28.7,29.79,28.62,29.43,43993725,1285788947,-0.23,-0.7755,29.2266,
601318.SH,中国平安,2016-02-16,29.43,29.55,30.32,29.46,30.12,39757869,1196447896,0.69,2.3445,30.0934,
601318.SH,中国平安,2016-02-17,30.12,30.13,30.33,29.92,30.04,46163466,1391102854,-0.08,-0.2656,30.1343,
601318.SH,中国平安,2016-02-18,30.04,30.28,30.49,29.8,29.91,48458572,1463151186,-0.13,-0.4328,30.1939,
601318.SH,中国平安,2016-02-19,29.91,29.91,30.15,29.73,29.92,26092199,780758760,0.01,0.0334,29.9231,
601318.SH,中国平安,2016-02-22,29.92,30.28,31.65,30.03,30.97,78908600,2431155402,1.05,3.5094,30.8098,
601318.SH,中国平安,2016-02-23,30.97,30.96,30.97,30.24,30.5,43458444,1328534703,-0.47,-1.5176,30.5702,
601318.SH,中国平安,2016-02-24,30.5,30.3,30.6,30.03,30.41,30491050,923163841,-0.09,-0.2951,30.2766,
601318.SH,中国平安,2016-02-25,30.41,30.37,30.37,28.86,28.96,59059774,1748561034,-1.45,-4.7682,29.6066,
601318.SH,中国平安,2016-02-26,28.96,29.33,29.4,28.94,29.1,33211134,969727466,0.14,0.4834,29.1989,
601318.SH,中国平安,2016-02-29,29.1,29.05,29.15,27.81,29.01,66763176,1905354124,-0.09,-0.3093,28.539,
601318.SH,中国平安,2016-03-01,29.01,28.9,29.69,28.56,29.26,40682753,1182768077,0.25,0.8618,29.073,
601318.SH,中国平安,2016-03-02,29.26,29.35,30.3,29.35,30.18,62335409,1866957711,0.92,3.1442,29.9502,
601318.SH,中国平安,2016-03-03,30.18,30.25,30.49,29.98,30.38,53494887,1617317668,0.2,0.6627,30.2331,
601318.SH,中国平安,2016-03-04,30.38,30.28,31.6,30.13,31.55,178976573,5572673517,1.17,3.8512,31.1363,
601318.SH,中国平安,2016-03-07,31.55,31.38,31.58,30.81,31.05,54440341,1695365205,-0.5,-1.5848,31.1417,
601318.SH,中国平安,2016-03-08,31.05,30.98,31.35,29.99,31.3,67391212,2063557424,0.25,0.8052,30.6206,
601318.SH,中国平安,2016-03-09,31.3,30.82,31.45,30.26,31.38,80090596,2476074423,0.08,0.2556,30.9159,
601318.SH,中国平安,2016-03-10,31.38,30.98,31.29,30.7,30.74,33110889,1024457375,-0.64,-2.0395,30.9402,
601318.SH,中国平安,2016-03-11,30.74,30.57,31.1,30.47,31.04,35792982,1104131773,0.3,0.9759,30.8477,
601318.SH,中国平安,2016-03-14,31.04,30.99,31.57,30.9,31.11,55579715,1737635744,0.07,0.2255,31.2638,
601318.SH,中国平安,2016-03-15,31.11,31.05,31.49,30.65,31.36,61981843,1934428492,0.25,0.8036,31.2096,
601318.SH,中国平安,2016-03-16,31.36,31.1,32.26,31.05,32.13,159647657,5110207477,0.77,2.4554,32.0093,
601318.SH,中国平安,2016-03-17,32.13,32.1,32.37,31.88,32,57078597,1831613492,-0.13,-0.4046,32.0893,
601318.SH,中国平安,2016-03-18,32,32.32,32.42,31.88,32.12,87408324,2814665234,0.12,0.375,32.2013,
601318.SH,中国平安,2016-03-21,32.12,32.39,33.8,32.24,32.83,113879011,3765399061,0.71,2.2105,33.0649,
601318.SH,中国平安,2016-03-22,32.83,32.65,33.04,32,32.1,60362722,1955171899,-0.73,-2.2236,32.3904,
601318.SH,中国平安,2016-03-23,32.1,32.29,32.76,32.08,32.26,36047297,1165680600,0.16,0.4984,32.3375,
601318.SH,中国平安,2016-03-24,32.26,32.07,32.09,31.75,31.8,35109688,1119205604,-0.46,-1.4259,31.8774,
601318.SH,中国平安,2016-03-25,31.8,31.81,32.8,31.64,32.06,35717568,1148277641,0.26,0.8176,32.1488,
601318.SH,中国平安,2016-03-28,32.06,32.1,32.35,31.35,31.46,37797307,1202848138,-0.6,-1.8715,31.8236,
601318.SH,中国平安,2016-03-29,31.46,31.61,31.76,31.14,31.25,34128188,1072037062,-0.21,-0.6675,31.4121,
601318.SH,中国平安,2016-03-30,31.25,31.6,32.06,31.52,31.99,43205823,1375893943,0.74,2.368,31.8451,
601318.SH,中国平安,2016-03-31,31.99,32.09,32.18,31.71,31.81,29797952,951119691,-0.18,-0.5627,31.919,
601318.SH,中国平安,2016-04-01,31.81,31.83,31.96,31.21,31.92,38552936,1221251115,0.11,0.3458,31.6773,
601318.SH,中国平安,2016-04-05,31.92,31.7,32.2,31.5,32,42978997,1370034029,0.08,0.2506,31.8768,
601318.SH,中国平安,2016-04-06,32,31.78,31.96,31.64,31.74,27232796,865676880,-0.26,-0.8125,31.788,
601318.SH,中国平安,2016-04-07,31.74,31.89,31.96,31.36,31.37,36211146,1139929927,-0.37,-1.1657,31.4801,
601318.SH,中国平安,2016-04-08,31.37,31.2,31.27,31.04,31.16,36175893,1126007857,-0.21,-0.6694,31.1259,
601318.SH,中国平安,2016-04-11,31.16,31.32,31.84,31.32,31.51,35165894,1110979400,0.35,1.1232,31.5925,
601318.SH,中国平安,2016-04-12,31.51,31.49,31.75,31.4,31.55,21968838,693090526,0.04,0.1269,31.5488,
601318.SH,中国平安,2016-04-13,31.55,31.8,32.26,31.72,31.91,75568173,2423542993,0.36,1.141,32.0709,
601318.SH,中国平安,2016-04-14,31.91,32.08,32.38,31.88,32.02,42270343,1356507308,0.11,0.3447,32.0912,
601318.SH,中国平安,2016-04-15,32.02,32.03,32.1,31.88,31.99,53566943,1712994981,-0.03,-0.0937,31.9786,
601318.SH,中国平安,2016-04-18,31.99,31.8,32.09,31.51,31.79,56266307,1794611327,-0.2,-0.6252,31.895,
601318.SH,中国平安,2016-04-19,31.79,32,32.04,31.75,31.93,47555191,1516349052,0.14,0.4404,31.8861,
601318.SH,中国平安,2016-04-20,31.93,31.94,32.25,31.11,32.21,119379681,3800706457,0.28,0.8769,31.8371,
601318.SH,中国平安,2016-04-21,32.21,31.94,32.5,31.86,32.22,65119594,2098390473,0.01,0.031,32.2236,
601318.SH,中国平安,2016-04-22,32.22,32,32.55,31.88,32.42,43078020,1393530946,0.2,0.6207,32.349,
601318.SH,中国平安,2016-04-25,32.42,32.3,32.5,31.97,32.32,30729800,991754406,-0.1,-0.3085,32.2734,
601318.SH,中国平安,2016-04-26,32.32,32.32,32.53,32.21,32.39,30804864,995628147,0.07,0.2166,32.3205,
601318.SH,中国平安,2016-04-27,32.39,32.57,32.62,32.21,32.26,32926140,1068295658,-0.13,-0.4014,32.4452,
601318.SH,中国平安,2016-04-28,32.26,32.26,32.38,32.01,32.19,22743653,732724442,-0.07,-0.217,32.2167,
601318.SH,中国平安,2016-04-29,32.19,32.09,32.4,31.95,32.04,25951148,834574467,-0.15,-0.466,32.1594,
601318.SH,中国平安,2016-05-03,32.04,32.01,32.43,31.86,31.91,50917961,1635287966,-0.13,-0.4057,32.1161,
601318.SH,中国平安,2016-05-04,31.91,31.93,32.03,31.89,31.93,26426416,844057427,0.02,0.0627,31.9399,
601318.SH,中国平安,2016-05-05,31.93,31.93,32.05,31.87,31.95,21140060,675334533,0.02,0.0626,31.9457,
601318.SH,中国平安,2016-05-06,31.95,32,32.01,31.39,31.4,49181874,1559939770,-0.55,-1.7214,31.7178,
601318.SH,中国平安,2016-05-09,31.4,31.39,31.4,31.05,31.16,49046546,1533979364,-0.24,-0.7643,31.276,
601318.SH,中国平安,2016-05-10,31.16,31.08,31.26,31.02,31.19,27645278,861819327,0.03,0.0963,31.1742,
601318.SH,中国平安,2016-05-11,31.19,31.24,31.37,31.16,31.25,27763942,867490738,0.06,0.1924,31.2452,
601318.SH,中国平安,2016-05-12,31.25,31.2,31.85,30.95,31.71,56869642,1792517804,0.46,1.472,31.5198,
601318.SH,中国平安,2016-05-13,31.71,31.55,31.85,31.49,31.72,39265080,1246185692,0.01,0.0315,31.7378,
601318.SH,中国平安,2016-05-16,31.72,31.56,31.7,31.51,31.61,24118291,762062338,-0.11,-0.3468,31.5969,
601318.SH,中国平安,2016-05-17,31.61,31.6,31.65,31.45,31.51,20691674,652435941,-0.1,-0.3164,31.5313,
601318.SH,中国平安,2016-05-18,31.51,31.41,31.89,31.37,31.81,60201782,1907811594,0.3,0.9521,31.6903,
601318.SH,中国平安,2016-05-19,31.81,31.71,31.9,31.7,31.83,28517053,906817502,0.02,0.0629,31.7991,
601318.SH,中国平安,2016-05-20,31.83,31.82,31.97,31.72,31.82,17539236,558615496,-0.01,-0.0314,31.8495,
601318.SH,中国平安,2016-05-23,31.82,31.76,31.96,31.71,31.83,27738544,883239656,0.01,0.0314,31.8416,
601318.SH,中国平安,2016-05-24,31.83,31.72,31.83,31.5,31.64,18552099,586424040,-0.19,-0.5969,31.6096,
601318.SH,中国平安,2016-05-25,31.64,31.83,31.88,31.59,31.61,13712500,435270022,-0.03,-0.0948,31.7426,
601318.SH,中国平安,2016-05-26,31.61,31.61,31.79,31.5,31.63,20356139,643568207,0.02,0.0633,31.6154,
601318.SH,中国平安,2016-05-27,31.63,31.7,31.71,31.58,31.6,14098751,445752176,-0.03,-0.0948,31.6164,
601318.SH,中国平安,2016-05-30,31.6,31.75,31.94,31.5,31.91,22097500,702233594,0.31,0.981,31.7789,
601318.SH,中国平安,2016-05-31,31.91,31.94,33.5,31.94,32.72,75882589,2494611164,0.81,2.5384,32.8746,
601318.SH,中国平安,2016-06-01,32.72,32.69,32.82,32.25,32.29,42343352,1375741830,-0.43,-1.3142,32.4901,
601318.SH,中国平安,2016-06-02,32.29,32.31,32.5,32.1,32.21,28989196,934538932,-0.08,-0.2478,32.2375,
601318.SH,中国平安,2016-06-03,32.21,32.45,32.45,32.02,32.34,35163822,1132898069,0.13,0.4036,32.2177,
601318.SH,中国平安,2016-06-06,32.34,32.4,32.45,32.05,32.11,23686984,763007281,-0.23,-0.7112,32.2121,
601318.SH,中国平安,2016-06-07,32.11,32.22,32.24,32.08,32.14,23960661,770372456,0.03,0.0934,32.1516,
601318.SH,中国平安,2016-06-08,32.14,32.12,32.23,32.02,32.15,26460999,849574216,0.01,0.0311,32.1067,
601318.SH,中国平安,2016-06-13,32.15,31.95,32.03,31.7,31.8,47023964,1501822510,-0.35,-1.0886,31.9374,
601318.SH,中国平安,2016-06-14,31.8,31.69,32.02,31.5,31.98,35573877,1133505414,0.18,0.566,31.8634,
601318.SH,中国平安,2016-06-15,31.98,31.62,32.08,31.61,31.98,38314316,1221903684,0,0,31.8916,
601318.SH,中国平安,2016-06-16,31.98,31.83,32.12,31.83,31.97,32940156,1053956473,-0.01,-0.0313,31.9961,
601318.SH,中国平安,2016-06-17,31.97,31.97,32.19,31.92,31.98,29510558,946009814,0.01,0.0313,32.0567,
601318.SH,中国平安,2016-06-20,31.98,32.2,32.2,31.97,32.12,25713526,823482129,0.14,0.4378,32.0253,
601318.SH,中国平安,2016-06-21,32.12,32.18,32.48,32.01,32.06,22864166,736611582,-0.06,-0.1868,32.2169,
601318.SH,中国平安,2016-06-22,32.06,32.05,32.15,31.97,32.08,16359312,524609225,0.02,0.0624,32.0679,
601318.SH,中国平安,2016-06-23,32.08,32.09,32.14,31.97,32,25361741,812060934,-0.08,-0.2494,32.0191,
601318.SH,中国平安,2016-06-24,32,31.98,32.13,31.21,31.55,42936222,1362051847,-0.45,-1.4062,31.7227,
601318.SH,中国平安,2016-06-27,31.55,31.5,31.74,31.45,31.68,23863950,754744913,0.13,0.412,31.627,
601318.SH,中国平安,2016-06-28,31.68,31.57,31.86,31.46,31.85,23766593,752102130,0.17,0.5366,31.6453,
601318.SH,中国平安,2016-06-29,31.85,31.9,32.18,31.85,32.16,26351146,843595384,0.31,0.9733,32.0136,
601318.SH,中国平安,2016-06-30,32.16,32.17,32.3,32.01,32.04,17779547,570756950,-0.12,-0.3731,32.1019,
601318.SH,中国平安,2016-07-01,32.04,32.14,32.28,32.06,32.18,18235058,586600866,0.14,0.437,32.1689,
601318.SH,中国平安,2016-07-04,32.18,32.12,32.66,32.06,32.44,40321889,1308665342,0.26,0.808,32.4555,
601318.SH,中国平安,2016-07-05,32.44,32.2,32.25,32,32.07,22093835,708723117,-0.37,-0.0623,32.0779,
601318.SH,中国平安,2016-07-06,32.07,32,32.08,31.8,31.99,24949967,795789559,-0.08,-0.2495,31.8954,
601318.SH,中国平安,2016-07-07,31.99,31.95,31.99,31.8,31.95,22363060,712756092,-0.04,-0.125,31.872,
601318.SH,中国平安,2016-07-08,31.95,31.95,31.96,31.76,31.78,19295029,613694890,-0.17,-0.5321,31.8059,
601318.SH,中国平安,2016-07-11,31.78,31.81,31.97,31.76,31.79,23128423,737189871,0.01,0.0315,31.8738,
601318.SH,中国平安,2016-07-12,31.79,31.81,32.46,31.8,32.41,42598577,1370988825,0.62,1.9503,32.1839,
601318.SH,中国平安,2016-07-13,32.41,32.6,32.8,32.3,32.46,42203460,1373499797,0.05,0.1543,32.5447,
601318.SH,中国平安,2016-07-14,32.46,32.44,32.5,32.29,32.49,20651738,668453802,0.03,0.0924,32.3679,
601318.SH,中国平安,2016-07-15,32.49,32.5,32.7,32.42,32.59,35206349,1146376131,0.1,0.3078,32.5616,
601318.SH,中国平安,2016-07-18,32.59,32.67,33,32.62,32.69,38033581,1247791265,0.1,0.3068,32.8076,
601318.SH,中国平安,2016-07-19,32.69,32.69,32.69,32.21,32.38,26362017,853931060,-0.31,-0.9483,32.3925,
601318.SH,中国平安,2016-07-20,32.38,32.42,32.45,32.13,32.31,18557332,599404450,-0.07,-0.2162,32.3001,
601318.SH,中国平安,2016-07-21,32.31,32.31,32.65,32.31,32.55,24834404,807123491,0.24,0.7428,32.5002,
601318.SH,中国平安,2016-07-22,32.55,32.5,32.54,32.23,32.3,21162492,685426388,-0.25,-0.768,32.3887,
601318.SH,中国平安,2016-07-25,32.3,32.3,32.4,32.22,32.3,17490184,565477113,0,0,32.3311,
601318.SH,中国平安,2016-07-26,32.3,32.3,32.64,32.25,32.52,40607690,1315811002,0.22,0.6811,32.403,
601318.SH,中国平安,2016-07-27,32.52,32.55,32.8,31.83,32.79,80288281,2601958941,0.27,0.8303,32.4077,
601318.SH,中国平安,2016-07-28,32.79,32.53,32.68,32.41,32.45,28491225,927273007,-0.34,-1.0369,32.5459,
601318.SH,中国平安,2016-07-29,32.45,32.49,32.6,32.31,32.37,22929963,744105405,-0.08,-0.2465,32.4512,
601318.SH,中国平安,2016-08-01,32.37,32.3,32.4,32.2,32.28,22213897,717235907,-0.09,-0.278,32.2877,
601318.SH,中国平安,2016-08-02,32.28,32.3,32.38,32.2,32.28,17685932,570712739,0,0,32.2693,
601318.SH,中国平安,2016-08-03,32.28,32.13,32.28,32.1,32.18,18652513,600429970,-0.1,-0.3098,32.1903,
601318.SH,中国平安,2016-08-04,32.18,32.18,32.2,32.01,32.15,20772929,666430065,-0.03,-0.0932,32.0817,
601318.SH,中国平安,2016-08-05,32.15,32.16,32.25,32.11,32.18,27213137,875728864,0.03,0.0933,32.1804,
601318.SH,中国平安,2016-08-08,32.18,32.23,32.3,32.1,32.27,30356935,978456142,0.09,0.2797,32.2317,
601318.SH,中国平安,2016-08-09,32.27,32.33,32.66,32.33,32.54,41065840,1334273438,0.27,0.8367,32.4911,
601318.SH,中国平安,2016-08-10,32.54,32.55,32.78,32.52,32.54,34781458,1134553583,0,0,32.6195,
601318.SH,中国平安,2016-08-11,32.54,32.5,33.4,32.5,32.79,77933585,2572039045,0.25,0.7683,33.003,
601318.SH,中国平安,2016-08-12,32.79,32.81,33.5,32.76,33.48,69438198,2300089390,0.69,2.1043,33.1243,
601318.SH,中国平安,2016-08-15,33.48,33.55,35.23,33.48,34.56,122157230,4208217327,1.08,3.2258,34.4492,
601318.SH,中国平安,2016-08-16,34.56,34.8,34.92,33.89,33.92,91604428,3137874791,-0.64,-1.8519,34.2546,
601318.SH,中国平安,2016-08-17,33.92,34.05,34.13,33.68,33.97,42967525,1457681731,0.05,0.1474,33.9252,
601318.SH,中国平安,2016-08-18,33.97,34.3,34.9,34.13,34.43,85035533,2938789957,0.46,1.3541,34.5596,
601318.SH,中国平安,2016-08-19,34.43,34.48,34.66,34.17,34.52,35481775,1221887628,0.09,0.2614,34.437,
601318.SH,中国平安,2016-08-22,34.52,34.61,34.68,34.23,34.46,31956946,1100976011,-0.06,-0.1738,34.4519,
601318.SH,中国平安,2016-08-23,34.46,34.42,35.18,34.42,34.84,55894872,1946633401,0.38,1.1027,34.8267,
601318.SH,中国平安,2016-08-24,34.84,34.89,34.92,34.31,34.33,37369379,1289666914,-0.51,-1.4638,34.5113,
601318.SH,中国平安,2016-08-25,34.33,34.01,34.16,33.8,34.09,38835272,1319356026,-0.24,-0.6991,33.9731,
601318.SH,中国平安,2016-08-26,34.09,34.16,34.41,34.04,34.09,21051990,720707377,0,0,34.2346,
601318.SH,中国平安,2016-08-29,34.09,34.01,34.31,33.72,34.26,23735599,807731243,0.17,0.4987,34.0304,
601318.SH,中国平安,2016-08-30,34.26,34.28,34.46,34.06,34.21,30022326,1028897886,-0.05,-0.1459,34.2711,
601318.SH,中国平安,2016-08-31,34.21,34.19,34.38,34.03,34.22,19265567,659454538,0.01,0.0292,34.2297,
601318.SH,中国平安,2016-09-01,34.22,34.21,34.54,34.16,34.37,24342696,836324257,0.15,0.4383,34.3563,
601318.SH,中国平安,2016-09-02,34.37,34.34,34.89,34.23,34.86,51030170,1766218364,0.49,1.4257,34.6113,
601318.SH,中国平安,2016-09-05,34.86,34.69,34.95,34.5,34.76,40332699,1401611045,-0.1,0.2885,34.7512,
601318.SH,中国平安,2016-09-06,34.76,34.72,35.43,34.64,35.14,56432581,1979904973,0.38,1.0932,35.0844,
601318.SH,中国平安,2016-09-07,35.14,35.19,35.67,35.18,35.21,47062029,1667528062,0.07,0.1992,35.4326,
601318.SH,中国平安,2016-09-08,35.21,35.2,35.58,35.13,35.38,33539618,1185177579,0.17,0.4828,35.3366,
601318.SH,中国平安,2016-09-09,35.38,35.43,35.84,35.28,35.46,44040730,1566197985,0.08,0.2261,35.5625,
601318.SH,中国平安,2016-09-12,35.46,34.91,35.15,34.2,35.12,86602441,3013336339,-0.34,-0.9588,34.7951,
601318.SH,中国平安,2016-09-13,35.12,34.98,34.98,34.4,34.72,31744459,1101218251,-0.4,-1.139,34.6901,
601318.SH,中国平安,2016-09-14,34.72,34.5,34.6,34.17,34.3,35213691,1209854981,-0.42,-1.2097,34.3575,
